name;label;top;left;height;width
110.png;6;1;16;18;10
110.png;3;1;27;18;11
111.png;9;8;23;20;11
112.png;1;2;31;37;14
112.png;8;1;44;37;21
112.png;7;6;63;37;19
113.png;1;1;19;21;8
113.png;3;3;27;21;12
114.png;1;6;29;28;7
114.png;9;4;37;28;10
115.png;3;1;26;26;9
115.png;2;1;38;26;13
116.png;5;12;27;14;8
116.png;1;12;34;14;6
116.png;3;11;40;14;9
117.png;4;8;145;145;79
117.png;8;13;224;145;87
118.png;3;2;13;15;9
118.png;4;2;22;15;9
118.png;2;1;31;15;9
118.png;1;1;40;15;7
119.png;3;55;91;48;27
119.png;2;44;113;48;29
119.png;3;33;135;48;39
120.png;5;20;65;40;24
120.png;1;20;84;40;17
121.png;1;8;32;21;6
121.png;3;8;43;21;13
121.png;5;7;63;21;11
121.png;8;7;79;21;13
122.png;1;2;21;23;4
122.png;7;1;26;23;5
123.png;6;5;25;22;10
124.png;5;1;19;23;10
125.png;6;3;18;17;6
125.png;4;3;23;17;10
126.png;1;14;56;52;15
126.png;10;12;72;52;22
126.png;8;8;97;52;21
127.png;8;15;32;36;16
128.png;1;16;56;45;9
128.png;3;22;65;45;11
129.png;6;5;21;17;8
129.png;8;5;29;17;9
130.png;4;4;26;21;17
131.png;1;6;24;18;8
131.png;7;5;32;18;11
131.png;4;5;44;18;11
132.png;9;20;78;67;43
132.png;8;8;122;67;36
133.png;4;13;91;99;43
133.png;4;14;132;99;44
134.png;9;2;16;14;9
135.png;6;2;26;28;13
135.png;8;3;41;28;12
136.png;2;10;52;37;15
137.png;1;10;50;43;14
137.png;10;10;70;43;17
138.png;4;19;60;37;17
138.png;6;15;81;37;20
139.png;2;1;21;23;13
139.png;8;2;35;23;13
140.png;9;1;18;18;12
141.png;3;4;25;24;9
141.png;9;2;35;24;8
142.png;4;7;92;87;65
143.png;4;13;51;24;17
143.png;1;14;67;24;14
144.png;1;3;27;28;8
144.png;9;3;36;28;14
144.png;5;3;51;28;11
145.png;3;18;93;93;38
145.png;3;23;120;93;38
146.png;2;4;23;13;7
146.png;5;5;29;13;9
146.png;1;7;37;13;6
146.png;8;6;43;13;9
147.png;1;3;28;24;6
147.png;5;3;34;24;14
148.png;3;43;140;30;16
148.png;10;43;161;30;19
148.png;10;42;183;30;19
149.png;4;3;19;17;8
149.png;7;3;26;17;9
150.png;2;36;136;27;19
150.png;8;36;156;27;12
150.png;6;35;167;27;18
151.png;3;4;25;21;14
151.png;3;4;40;21;15
152.png;2;8;52;37;15
152.png;10;10;66;37;12
152.png;7;9;76;37;11
153.png;1;7;30;28;6
153.png;9;7;36;28;9
154.png;2;3;18;20;14
155.png;7;13;68;44;22
156.png;6;9;35;28;16
157.png;5;7;37;37;26
157.png;7;7;65;37;23
158.png;2;34;113;81;53
159.png;9;11;28;29;23
159.png;1;6;51;29;14
160.png;2;9;49;27;8
160.png;10;11;59;27;8
160.png;8;11;70;27;13
161.png;8;26;91;63;33
161.png;5;25;118;63;33
162.png;3;1;32;36;21
163.png;5;49;148;36;25
163.png;6;46;167;36;22
163.png;10;46;184;36;25
164.png;5;10;57;57;24
165.png;1;12;45;40;14
165.png;7;13;58;40;20
165.png;6;14;78;40;23
166.png;7;18;40;27;24
166.png;5;11;55;27;21
166.png;4;7;72;27;21
167.png;1;8;30;15;5
167.png;5;8;35;15;11
168.png;2;8;30;24;7
168.png;8;9;36;24;6
168.png;2;8;42;24;8
169.png;4;3;26;33;21
169.png;2;3;43;33;18
170.png;7;4;30;28;12
170.png;6;8;41;28;16
171.png;4;16;53;40;32
171.png;1;14;80;40;14
171.png;9;13;96;40;24
172.png;2;6;31;25;9
172.png;1;7;45;25;4
173.png;1;5;17;16;6
173.png;1;4;25;16;5
174.png;5;6;31;25;12
174.png;9;4;42;25;16
175.png;5;8;28;28;11
175.png;6;8;40;28;13
175.png;8;8;54;28;13
176.png;5;15;82;50;33
177.png;1;45;125;50;22
177.png;5;49;148;50;25
177.png;8;51;169;50;23
178.png;2;5;31;26;11
178.png;1;5;42;26;6
179.png;2;4;33;28;9
179.png;5;1;43;28;10
180.png;1;5;16;17;6
180.png;7;5;23;17;7
180.png;4;4;31;17;10
180.png;2;4;40;17;10
181.png;3;6;45;39;17
181.png;7;10;63;39;19
182.png;3;1;29;41;28
182.png;4;2;55;41;22
183.png;2;2;22;23;12
183.png;1;3;32;23;8
184.png;2;28;53;33;24
184.png;8;29;77;33;21
184.png;10;34;96;33;23
184.png;10;32;116;33;22
185.png;2;2;10;11;5
185.png;5;1;17;11;5
185.png;6;1;23;11;5
186.png;1;8;34;49;13
186.png;3;9;49;49;22
186.png;10;10;71;49;30
187.png;1;2;20;25;12
187.png;9;1;32;25;17
188.png;4;11;38;32;16
188.png;5;12;55;32;17
189.png;9;4;35;31;20
190.png;2;3;15;12;6
190.png;6;3;22;12;6
191.png;1;7;26;20;8
191.png;5;7;35;20;11
191.png;9;5;46;20;11
192.png;3;2;22;22;12
193.png;1;24;123;85;23
194.png;4;14;47;19;7
194.png;3;13;56;19;11
195.png;1;3;15;13;5
195.png;2;4;20;13;7
196.png;1;10;45;51;25
197.png;3;4;23;23;8
197.png;1;5;31;23;5
197.png;6;6;37;23;8
198.png;2;8;29;32;22
198.png;9;9;49;32;22
198.png;7;9;68;32;17
199.png;2;41;145;149;77
199.png;10;34;206;149;68
200.png;3;4;97;32;20
200.png;1;7;113;32;16
200.png;8;10;126;32;18
201.png;2;3;31;38;21
201.png;3;4;52;38;17
202.png;1;70;148;35;18
202.png;10;69;165;35;23
202.png;5;56;179;35;23
203.png;2;30;69;39;20
203.png;4;22;86;39;16
203.png;1;9;97;39;20
204.png;4;4;32;22;12
205.png;4;7;28;24;12
205.png;9;8;37;24;9
206.png;4;96;223;30;15
206.png;9;91;238;30;15
207.png;1;35;118;79;40
207.png;1;34;148;79;40
207.png;1;34;180;79;43
208.png;9;3;24;18;10
209.png;1;9;42;35;9
209.png;8;2;53;35;16
209.png;8;11;72;35;16
210.png;2;8;46;39;20
210.png;6;10;68;39;21
211.png;2;2;19;18;10
211.png;7;2;35;18;8
212.png;2;13;43;29;11
212.png;9;13;55;29;7
213.png;1;4;59;52;19
214.png;8;3;32;24;13
215.png;3;7;43;31;23
215.png;10;9;66;31;22
215.png;2;10;89;31;25
216.png;2;13;63;35;27
216.png;8;23;91;35;28
216.png;10;34;119;35;25
217.png;2;12;50;37;23
218.png;1;4;21;19;6
218.png;8;2;27;19;9
219.png;3;52;82;66;48
219.png;2;35;115;66;37
219.png;8;19;137;66;33
220.png;5;4;47;55;27
220.png;1;5;72;55;24
221.png;1;4;25;25;8
221.png;5;5;34;25;12
221.png;7;6;46;25;11
222.png;2;4;23;19;9
223.png;1;4;23;20;9
223.png;9;4;33;20;8
223.png;10;3;41;20;10
224.png;6;14;48;41;18
224.png;8;15;66;41;20
225.png;2;10;41;22;10
226.png;1;6;23;22;5
226.png;3;5;28;22;11
226.png;6;4;39;22;11
227.png;1;5;22;16;5
228.png;1;13;59;32;16
228.png;1;13;73;32;8
228.png;1;12;80;32;11
229.png;7;5;19;15;9
229.png;2;5;27;15;9
230.png;3;5;44;42;23
231.png;1;12;38;27;6
231.png;4;12;45;27;9
231.png;4;11;56;27;9
232.png;1;8;30;24;6
232.png;10;8;36;24;9
233.png;1;11;35;31;18
233.png;3;10;56;31;15
233.png;5;11;75;31;13
233.png;8;9;92;31;15
234.png;8;12;44;20;11
234.png;4;10;52;20;12
235.png;2;9;39;33;16
235.png;1;11;56;33;9
235.png;10;11;65;33;13
236.png;1;19;63;40;13
236.png;1;18;75;40;11
236.png;4;18;83;40;21
237.png;1;50;142;26;12
237.png;9;48;152;26;11
237.png;3;45;159;26;13
238.png;7;8;30;22;17
238.png;7;8;47;22;17
239.png;1;2;22;20;8
239.png;4;3;31;20;6
239.png;10;2;39;20;12
240.png;3;41;127;39;20
240.png;9;41;140;39;26
241.png;1;3;15;14;4
241.png;5;4;21;14;7
242.png;1;6;23;23;14
242.png;5;5;37;23;13
243.png;2;7;28;13;6
243.png;3;6;35;13;8
243.png;6;6;42;13;8
243.png;3;7;52;13;8
244.png;1;11;34;27;6
244.png;5;8;42;27;12
245.png;3;8;29;22;14
245.png;8;9;42;22;13
246.png;5;16;63;40;23
246.png;1;20;86;40;16
247.png;2;1;13;16;11
248.png;7;4;23;22;16
249.png;1;5;30;27;10
249.png;10;4;38;27;11
250.png;7;3;24;20;8
250.png;8;5;32;20;9
251.png;7;7;70;82;37
251.png;6;9;106;82;36
252.png;3;26;-1;34;16
252.png;7;17;12;34;24
252.png;10;6;34;34;29
253.png;1;12;35;33;13
253.png;9;7;46;33;12
254.png;3;5;30;32;18
254.png;5;4;47;32;18
255.png;9;8;55;55;34
255.png;3;8;82;55;37
256.png;2;2;31;33;20
256.png;8;3;50;33;18
257.png;1;30;80;41;17
257.png;1;35;103;41;15
258.png;5;1;45;60;34
258.png;6;3;78;60;33
259.png;5;14;51;30;19
260.png;3;2;2;20;13
260.png;6;2;18;20;17
261.png;1;1;15;16;4
261.png;4;1;18;16;6
262.png;2;23;61;44;18
262.png;4;25;78;44;23
262.png;1;26;59;46;20
263.png;7;14;46;38;15
263.png;1;14;62;38;10
264.png;2;5;27;28;16
264.png;1;6;44;28;11
264.png;9;3;57;28;12
264.png;10;5;67;28;16
265.png;7;10;46;45;25
265.png;6;7;70;45;25
266.png;5;27;125;89;54
266.png;10;26;173;89;50
267.png;2;9;3;54;20
267.png;1;11;33;54;18
268.png;6;12;34;24;8
269.png;3;7;33;32;16
269.png;5;5;52;32;17
269.png;3;6;68;32;20
270.png;2;3;25;30;12
270.png;5;2;37;30;10
270.png;5;1;51;30;13
271.png;1;1;18;24;8
271.png;9;1;26;24;11
272.png;4;7;44;35;11
272.png;6;6;57;35;8
272.png;4;4;69;35;15
273.png;9;8;31;27;18
274.png;1;3;28;28;9
274.png;6;3;36;28;13
274.png;6;4;47;28;13
275.png;2;4;27;22;16
275.png;5;4;41;22;20
276.png;1;11;26;17;9
276.png;7;13;35;17;7
276.png;8;10;42;17;13
277.png;5;6;29;17;6
277.png;7;6;33;17;7
278.png;1;24;84;23;14
278.png;4;31;95;23;15
279.png;1;5;34;34;10
279.png;1;5;44;34;10
280.png;1;5;23;16;10
281.png;2;2;22;24;9
281.png;9;1;31;24;10
282.png;3;3;21;18;11
282.png;7;3;32;18;10
283.png;1;53;142;27;9
283.png;1;49;148;27;9
283.png;3;49;155;27;12
284.png;1;7;21;12;5
284.png;1;6;27;12;6
285.png;6;11;45;32;11
285.png;1;12;57;32;7
286.png;1;14;57;38;14
286.png;3;15;72;38;20
287.png;4;8;41;36;17
287.png;1;10;60;36;10
288.png;2;25;90;36;20
288.png;9;25;109;36;25
288.png;2;24;131;36;20
289.png;1;16;49;30;9
289.png;1;17;56;30;8
290.png;1;18;74;46;15
290.png;1;17;93;46;16
291.png;6;5;19;16;9
291.png;10;6;28;16;8
291.png;8;6;36;16;7
292.png;4;4;48;56;30
293.png;7;4;28;26;7
293.png;4;2;36;26;10
294.png;1;4;52;46;10
294.png;10;4;69;46;21
294.png;4;2;94;46;16
295.png;1;1;19;22;11
295.png;1;2;32;22;11
296.png;3;15;46;19;12
296.png;3;15;58;19;12
297.png;6;19;78;55;33
297.png;10;20;111;55;41
298.png;1;6;27;13;5
298.png;5;5;32;13;8
298.png;1;5;39;13;7
299.png;7;6;26;15;9
299.png;9;6;37;15;7
300.png;9;24;85;55;33
301.png;6;1;16;17;9
302.png;5;8;32;31;11
302.png;10;6;43;31;14
303.png;2;4;25;22;15
303.png;3;4;36;22;13
304.png;1;5;25;28;13
304.png;7;5;35;28;16
305.png;1;7;24;15;4
305.png;5;7;30;15;5
305.png;3;6;36;15;8
306.png;8;13;44;36;18
306.png;7;8;62;36;16
307.png;2;9;85;89;50
307.png;3;14;135;89;49
308.png;2;19;56;29;17
308.png;1;17;74;29;14
308.png;8;13;88;29;17
309.png;1;18;45;22;11
309.png;2;17;53;22;10
309.png;4;16;60;22;11
310.png;6;4;19;20;13
310.png;8;3;32;20;12
311.png;1;4;35;43;15
311.png;3;1;49;43;27
312.png;1;7;24;25;11
312.png;2;7;36;25;15
313.png;1;3;11;14;7
313.png;4;2;19;14;5
314.png;4;4;35;32;16
314.png;8;2;50;32;15
315.png;4;1;17;17;7
315.png;2;1;24;17;6
315.png;1;1;31;17;4
316.png;2;12;52;48;27
316.png;5;9;79;48;31
317.png;4;1;15;17;6
317.png;4;1;20;17;7
318.png;1;1;19;26;8
318.png;7;1;29;26;12
318.png;1;3;41;26;9
319.png;6;21;92;55;41
319.png;8;35;131;55;38
320.png;7;9;35;38;21
320.png;3;7;54;38;17
321.png;4;34;157;18;16
321.png;10;34;172;18;16
321.png;5;31;189;18;14
322.png;3;5;26;27;12
322.png;1;4;37;27;9
323.png;4;10;59;57;31
323.png;1;9;85;57;23
324.png;2;5;40;39;22
324.png;6;7;65;39;25
324.png;6;6;87;39;26
325.png;4;34;62;26;15
325.png;5;28;76;26;12
325.png;10;31;87;26;17
326.png;3;8;52;61;39
326.png;10;3;92;61;40
327.png;1;20;66;26;10
327.png;6;19;73;26;11
327.png;6;18;79;26;12
328.png;7;11;48;42;11
328.png;7;10;58;42;16
329.png;1;4;17;14;5
329.png;1;4;21;14;6
329.png;4;4;27;14;10
330.png;1;9;58;48;14
330.png;1;10;72;48;19
331.png;2;9;37;38;26
331.png;3;9;64;38;24
332.png;1;2;28;23;8
333.png;1;20;36;27;9
333.png;4;18;46;27;12
333.png;8;11;60;27;13
334.png;1;12;38;19;8
334.png;6;12;44;19;8
334.png;4;11;52;19;8
334.png;8;11;59;19;8
335.png;1;11;41;39;19
335.png;5;9;57;39;21
336.png;5;4;36;24;15
336.png;4;4;52;24;10
337.png;1;62;159;68;30
337.png;1;67;192;68;18
337.png;10;67;209;68;54
338.png;5;15;53;41;25
338.png;5;13;76;41;22
338.png;3;10;97;41;22
339.png;8;15;66;59;34
339.png;2;15;105;59;27
340.png;4;5;27;30;9
340.png;3;5;37;30;14
341.png;2;55;100;44;30
341.png;8;35;135;44;39
341.png;9;31;173;44;39
342.png;1;6;47;65;24
342.png;8;6;87;65;36
343.png;2;8;56;48;27
344.png;9;6;41;41;26
344.png;9;5;99;41;26
345.png;4;9;44;34;13
346.png;4;5;19;12;7
346.png;8;5;26;12;8
347.png;5;28;79;39;22
347.png;10;19;100;39;20
348.png;8;1;29;39;25
349.png;2;5;21;11;5
350.png;3;2;28;34;18
350.png;2;1;47;34;15
351.png;4;11;34;28;16
352.png;4;19;50;27;14
353.png;2;34;51;23;11
353.png;7;36;60;23;9
353.png;4;37;66;23;12
353.png;4;36;76;23;9
354.png;1;6;40;42;10
354.png;3;2;51;42;17
354.png;8;4;68;42;19
355.png;7;2;13;14;8
355.png;4;2;22;14;9
355.png;10;1;31;14;8
356.png;2;7;39;25;19
357.png;5;10;49;55;25
357.png;3;11;76;55;45
358.png;2;6;27;21;8
358.png;8;6;36;21;8
359.png;1;3;22;19;5
360.png;5;6;29;22;9
360.png;8;6;38;22;8
361.png;1;13;43;29;10
361.png;7;12;53;29;16
362.png;3;7;33;23;10
362.png;4;10;52;23;13
363.png;8;30;103;34;20
363.png;3;32;121;34;19
363.png;10;34;139;34;15
364.png;6;6;29;26;17
365.png;8;11;67;68;21
365.png;3;11;88;68;21
366.png;4;7;62;74;38
367.png;1;10;43;44;15
367.png;5;9;56;44;22
368.png;5;1;19;17;11
368.png;6;2;30;17;10
369.png;1;3;36;45;16
369.png;6;4;54;45;23
370.png;1;5;37;49;19
370.png;1;6;51;49;21
371.png;8;1;35;36;12
372.png;1;1;19;26;8
372.png;5;1;27;26;10
373.png;3;11;45;44;25
373.png;8;8;72;44;22
374.png;9;7;29;17;8
374.png;6;8;36;17;8
375.png;3;53;113;65;34
375.png;1;39;143;65;22
375.png;5;23;163;65;36
376.png;5;27;73;25;14
376.png;1;24;81;25;11
377.png;4;4;43;54;38
378.png;7;9;39;41;24
379.png;3;27;125;92;42
379.png;10;40;161;92;43
380.png;2;1;8;12;5
380.png;9;1;13;12;7
381.png;1;23;65;22;8
381.png;9;23;72;22;11
381.png;1;24;85;22;9
382.png;6;7;29;19;7
382.png;5;6;35;19;7
382.png;8;7;42;19;8
383.png;7;4;43;46;21
383.png;2;6;63;46;20
384.png;3;29;66;23;17
384.png;5;24;78;23;19
384.png;5;19;88;23;19
385.png;2;14;61;42;23
385.png;6;17;83;42;21
385.png;1;17;104;42;13
386.png;4;5;51;55;22
386.png;2;7;73;55;20
387.png;9;51;86;50;28
387.png;9;36;122;50;34
387.png;5;17;158;50;33
388.png;3;2;46;34;10
388.png;2;3;56;34;11
389.png;4;1;55;66;43
390.png;5;5;30;30;12
390.png;10;4;42;30;14
391.png;2;2;19;18;8
391.png;1;3;27;18;7
392.png;5;7;39;44;21
392.png;9;6;60;44;21
393.png;8;21;69;39;18
393.png;10;18;94;39;18
393.png;10;15;118;39;18
394.png;8;10;55;34;16
395.png;1;28;98;66;37
395.png;2;30;174;66;47
395.png;9;22;252;66;49
396.png;1;5;24;20;5
396.png;7;5;32;20;8
396.png;9;5;42;20;9
396.png;8;4;54;20;9
397.png;1;13;44;30;11
397.png;10;11;55;30;20
397.png;4;8;75;30;17
398.png;5;4;32;32;23
398.png;4;4;57;32;25
399.png;6;24;82;84;61
399.png;2;15;141;84;52
400.png;2;1;14;19;11
400.png;3;1;25;19;11
401.png;1;1;13;16;10
401.png;1;1;21;16;6
401.png;6;1;29;16;8
402.png;4;9;54;54;30
403.png;1;3;20;26;10
403.png;6;3;30;26;10
403.png;5;2;39;26;11
404.png;3;36;144;86;37
404.png;9;29;183;86;26
404.png;8;24;214;86;22
405.png;5;77;208;61;29
405.png;5;74;237;61;23
406.png;2;16;47;34;18
406.png;7;9;65;34;14
406.png;10;8;79;34;12
407.png;2;1;15;18;7
407.png;7;1;22;18;6
408.png;1;45;216;30;15
408.png;7;48;229;30;15
409.png;9;2;21;25;12
409.png;3;4;36;25;14
410.png;6;38;92;66;39
410.png;5;21;129;66;42
411.png;2;64;286;293;176
411.png;6;69;489;293;155
412.png;1;44;64;30;17
412.png;2;32;75;30;23
412.png;3;24;89;30;22
412.png;5;13;105;30;25
413.png;1;2;20;24;12
413.png;3;3;29;24;15
414.png;1;4;21;20;6
414.png;6;4;27;20;9
415.png;1;11;42;20;8
415.png;2;10;49;20;15
415.png;7;11;63;20;13
416.png;5;10;66;54;23
416.png;2;5;87;54;37
417.png;2;34;116;75;39
417.png;8;36;149;75;44
418.png;5;6;42;33;15
418.png;6;6;59;33;13
419.png;1;4;40;34;8
419.png;2;3;51;34;13
420.png;1;3;27;22;9
420.png;5;4;37;22;13
420.png;7;4;52;22;14
420.png;9;4;67;22;16
421.png;2;1;7;20;10
421.png;6;2;21;20;10
421.png;4;2;32;20;8
422.png;9;3;22;20;8
422.png;10;3;32;20;9
423.png;4;7;27;24;12
423.png;4;8;41;24;13
424.png;9;12;72;43;27
425.png;1;22;92;77;21
425.png;7;22;109;77;40
426.png;4;6;27;24;9
426.png;1;5;36;24;8
427.png;3;6;49;59;37
427.png;5;7;82;59;35
428.png;3;19;73;58;31
429.png;3;10;56;34;13
429.png;3;13;70;34;18
429.png;10;13;90;34;15
430.png;4;41;178;138;196
431.png;1;9;51;53;27
432.png;9;6;20;13;8
432.png;3;6;28;13;7
433.png;1;8;35;28;9
433.png;2;4;44;28;16
434.png;10;9;59;29;16
435.png;1;7;25;22;7
435.png;2;6;32;22;10
435.png;1;5;43;22;8
436.png;6;7;46;51;28
436.png;3;4;75;51;31
437.png;3;4;24;24;7
437.png;7;2;31;24;9
438.png;5;5;34;30;14
438.png;8;9;47;30;15
439.png;6;15;54;40;21
439.png;7;14;77;40;22
440.png;1;10;54;50;16
440.png;7;12;71;50;24
441.png;1;25;40;24;12
441.png;9;20;51;24;15
441.png;2;10;62;24;18
442.png;1;9;39;35;9
443.png;7;3;16;15;5
443.png;8;2;20;15;8
444.png;2;8;55;48;29
444.png;2;9;78;48;31
445.png;1;4;32;34;15
445.png;10;6;46;34;24
446.png;2;1;22;31;17
446.png;1;3;38;31;13
446.png;3;1;51;31;17
447.png;6;9;46;46;25
448.png;5;38;104;45;20
448.png;3;44;124;45;19
449.png;3;6;32;33;12
449.png;10;3;48;33;14
450.png;4;54;98;48;28
450.png;4;38;116;48;37
450.png;3;28;133;48;43
451.png;6;5;40;29;12
451.png;4;6;53;29;13
452.png;4;8;29;16;8
452.png;4;10;37;16;8
452.png;5;8;43;16;9
453.png;5;11;59;47;28
453.png;2;13;88;47;28
454.png;1;29;88;38;10
454.png;5;28;98;38;19
454.png;6;30;118;38;18
455.png;5;1;29;36;16
455.png;3;2;47;36;10
456.png;2;7;43;46;17
456.png;3;5;59;46;17
457.png;8;54;100;62;37
457.png;6;46;123;62;41
457.png;10;31;147;62;45
458.png;1;5;25;19;5
458.png;10;3;30;19;6
458.png;10;3;38;19;9
459.png;5;7;43;47;25
459.png;6;5;67;47;28
459.png;10;7;93;47;30
460.png;1;5;31;35;15
461.png;5;10;52;64;33
461.png;2;8;85;64;31
462.png;5;1;18;20;9
